variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,BRN,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KNA,KOR,KWT,LBN,LBR,LBY,LCA,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PSE,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF
1,0.107,19.082,3.204,0.200689,7.512,40.412,0.08871,22.268,10.712,8.85,148.692,7.494,1.262,0.343,3.76,0.312,0.064941,194.946,0.273,0.399,34.017,17.114,1341.335,19.738,19.599,65.966,4.043,46.295,0.735,0.496,4.659,11.258,1.104,82.302,0.889,0.067757,5.55,9.927,35.468,14.465,81.121,5.254,46.077,1.341,5.365,0.861,64.935,0.105681,1.505,62.036,4.352,24.392,9.982,0.4,1.728,1.515,0.7,11.359,0.104487,14.389,0.25,0.754,7.053,7.601,4.403,9.993,239.871,1224.614,4.47,73.974,31.672,0.32,7.418,60.551,2.741,6.187,126.536,40.513,14.138,0.099546,0.052402,48.184,2.737,4.228,3.994,6.355,0.174,20.86,3.324,2.252,0.544,31.951,0.030508,20.714,0.316,113.423,0.070983,0.417,47.963,0.631,23.391,3.46,0.38,1.299,28.401,2.283,0.251,158.423,5.788,16.613,4.883,0.010134,4.368,2.782,173.593,3.517,29.077,93.261,0.02,6.858,38.277,3.749,24.346229,10.676,4.039,0.271,1.759,0.840974,21.486,142.958,27.448,43.552,12.434,5.086,0.538,5.868,6.193,9.331,0.165,0.525,2.03,9.38,0.086518,20.411,6.028,69.122,1.124,0.104,1.341,10.481,72.752,0.010782,23.037,44.841,45.448,3.369,310.384,0.109,28.98,0.10417,87.848,0.24,0.183,24.053,50.133
2,0.124,25.588,3.248,0.211886,10.985,43.233,0.097396,25.807,11.176,11.678,163.885,7.035,1.87,0.384,3.699,0.372,0.066106,209.12,0.276,0.455,37.495,18.45,1368.806,23.955,24.193,88.056,5.178,51.852,0.934,0.527,5.301,11.038,1.239,81.489,1.048,0.067879,5.761,10.965,40.143,16.306,93.393,6.893,48.518,1.317,5.571,0.897,68.533,0.10990824,1.785,65.682,4.096,30.746,12.057,0.416,2.228,1.842,0.917,11.373,0.108127,18.161,0.26,0.768,7.603,9.185,4.311,11.23,258.522,1376.334,4.992,81.709,42.22,0.365,9.115,61.412,2.8,8.106,124.147,52.139,15.314,0.115828,0.058528,49.134,3.551,4.503,5.84,7.352,0.189,22.075,3.167,2.112,0.611,34.421,0.03172832,27.436,0.358,124.818,0.07382232,0.431,49.71,0.647,28.97,4.338,0.3952,1.356,32.575,2.66,0.287,205.616,6.333,17.151,5.38,0.01053936,4.814,3.274,211.598,3.986,31.207,111.857,0.0208,8.371,38.229,3.624,25.355354,10.851,4.968,0.298,2.544,0.87461296,20.69,140.888,35.341,57.286,16.264,5.692,0.679,7.41,6.322,11.64,0.188,0.567,2.082,10.094,0.089841,24.664,7.328,72.27,1.418,0.11,1.36,11.367,80.941,0.01121328,23.476,59.74,42.658,3.398,333.634,0.109,33.063,0.1083368,95.447,0.3,0.19,32.802,54.132
3,0.135,33.626,3.225,0.212869,13.14,45.018,0.104643,28.963,11.473,14.821,174.36,6.639,2.306,0.415,3.566,0.426,0.066582,217.314,0.275,0.496,40.487,19.268,1349.997,28.585,28.885,113.113,6.404,55.96,1.157,0.54,5.804,10.536,1.348,79.954,1.205,0.068815,5.919,11.665,43.357,17.689,102.471,8.665,49.509,1.274,5.686,0.895,71.382,0.11430457,2.053,68.252,3.749,38.096,14.15,0.43264,2.753,2.169,1.149,11.198,0.107563,22.473,0.2704,0.761,8.117,10.837,4.174,12.375,267.771,1489.144,5.372,86.058,55.117,0.401,10.638,60.989,2.773,10.298,118.399,64.995,15.916,0.132178,0.063336,48.844,4.27,4.673,7.949,8.017,0.198,22.497,2.981,1.982,0.666,35.622,0.032997453,35.599,0.391,132.429,0.076775213,0.435,49.735,0.655,35.15,5.31,0.411008,1.389,35.971,3.022,0.317,267.934,6.607,17.498,5.838,0.010960934,5.164,3.707,254.264,4.358,32.227,132.648,0.021632,10.031,37.325,3.409,26.180166,10.902,5.781,0.317,2.986,0.909597478,19.622,136.641,43.953,72.975,20.771,5.979,0.83,9.076,6.199,14.509,0.21,0.597,2.096,10.676,0.092431,29.644,8.697,73.264,1.785,0.116,1.329,11.863,86.945,0.011661811,23.18,77.896,40.235,3.359,353.765,0.107,36.154,0.112670272,99.169,0.366,0.196,43.705,56.455
4,0.142,41.752,3.141,0.207232,14.893,45.891,0.109344,31.706,11.654,17.977,178.799,6.286,2.698,0.435,3.371,0.473,0.065889,219.05,0.265,0.525,42.81,19.52,1285.917,33.039,33.339,138.015,7.62,58.486,1.389,0.538,6.158,9.764,1.428,77.78,1.337,0.06738,6.01,12.008,45.286,18.571,108.959,10.523,50.35,1.23,5.709,0.866,73.525,0.118876752,2.28,69.988,3.389,45.96,16.021,0.4499456,3.261,2.47,1.371,11.01,0.102819,26.863,0.281216,0.726,8.567,12.392,4.01,13.307,268.717,1565.23,5.684,88.136,69.261,0.429,12.03,60.214,2.671,12.514,111.147,78.358,15.983,0.145273,0.066626,47.209,4.922,4.71,10.159,8.551,0.201,22.428,2.76,1.854,0.712,35.661,0.034317351,44.117,0.411,136.061,0.079846221,0.429,48.009,0.656,41.044,6.258,0.42744832,1.391,38.414,3.315,0.339,344.175,6.653,17.58,6.217,0.011399372,5.419,4.04,295.99,4.605,32.29,152.33,0.02249728,11.567,35.574,3.127,26.444855,10.896,6.413,0.327,3.354,0.945981378,18.354,132.124,52.719,90.822,25.558,6.165,0.98,10.702,5.932,17.518,0.227,0.61,2.094,11.109,0.093273,34.331,9.948,72.011,2.152,0.119,1.263,11.989,90.576,0.012128284,22.064,97.931,38.194,3.254,369.196,0.103,38.113,0.117177083,99.689,0.431,0.198,55.595,57.07
5,0.147,50.051,3.004,0.198053,16.119,45.734,0.111577,34.087,11.671,21.015,177.054,5.946,3.023,0.443,3.117,0.516,0.064662,214.595,0.249,0.542,44.608,19.244,1183.481,37.295,37.374,161.845,8.796,59.318,1.613,0.521,6.35,8.76,1.486,74.839,1.454,0.064847,6.037,12.005,46.018,18.922,112.407,12.333,50.551,1.187,5.678,0.818,74.586,0.123631822,2.488,71.04,3.003,54.061,17.599,0.467943424,3.73,2.733,1.588,10.708,0.094921,31.376,0.29246464,0.673,8.839,13.883,3.814,14.045,261.103,1600.939,5.911,87.911,84.387,0.451,13.216,58.675,2.51,14.789,103.098,91.675,15.654,0.155721,0.068238,44.107,5.406,4.616,12.454,8.9,0.199,21.764,2.53,1.724,0.74,34.828,0.035690045,53.065,0.423,135.602,0.08304007,0.416,44.874,0.649,46.5,7.151,0.444546253,1.361,39.689,3.56,0.355,431.132,6.499,17.405,6.514,0.011855347,5.586,4.251,340.2,4.711,31.444,171.67,0.023397171,12.943,33.519,2.802,26.381631,10.762,6.934,0.329,3.586,0.983820633,16.844,127.076,61.63,112.199,30.505,6.203,1.121,12.221,5.561,20.347,0.24,0.608,2.076,11.498,0.091324,38.815,11.059,68.553,2.521,0.12,1.163,11.817,91.829,0.012613415,20.036,119.048,36.216,3.086,379.154,0.097,38.912,0.121864166,96.94,0.493,0.195,68.78,56.248
6,0.148,57.841,2.824,0.183911,16.738,44.649,0.112221,35.983,11.514,23.8,169.807,5.59,3.242,0.441,2.828,0.556,0.064081,204.524,0.229,0.545,45.892,18.526,1055.855,41.016,40.782,182.783,9.902,58.628,1.821,0.492,6.387,7.585,1.51,71.088,1.547,0.062585,6.012,11.7,45.166,18.785,112.785,14.031,49.626,1.136,5.616,0.759,74.714,0.128577095,2.662,71.159,2.626,61.853,18.817,0.486661161,4.146,2.942,1.789,10.241,0.089907,35.775,0.304163226,0.611,8.932,15.248,3.589,14.535,245.742,1587.505,6.004,84.681,100.085,0.464,14.155,56.156,2.304,17.061,94.727,103.901,14.959,0.164044,0.068511,40.033,5.689,4.408,14.725,8.927,0.192,20.67,2.285,1.584,0.75,33.241,0.037117647,62.004,0.423,131.782,0.086361673,0.399,40.915,0.634,51.593,8.004,0.462328103,1.306,39.971,3.767,0.363,520.41,6.202,17.085,6.731,0.012329561,5.666,4.333,381.963,4.688,29.878,190.089,0.024333058,14.156,31.264,2.463,26.161175,10.473,7.356,0.324,3.677,1.023173458,15.062,121.298,70.548,135.455,35.391,6.107,1.253,13.59,5.122,22.899,0.249,0.593,2.038,11.771,0.087711,43.277,11.997,63.758,2.861,0.12,1.041,11.31,90.76,0.013117952,17.9,139.487,34.23,2.874,386.15,0.09,38.65,0.126738733,91.283,0.551,0.191,82.096,54.441
7,0.147,64.645,2.593,0.169747,16.599,42.8,0.112023,37.062,11.193,26.218,158.655,5.171,3.335,0.427,2.513,0.594,0.064177,190.044,0.208,0.533,46.416,17.475,920.286,44.362,43.623,200.541,10.886,56.698,2.023,0.461,6.251,6.425,1.483,66.91,1.612,0.060263,5.92,11.186,43.046,18.265,110.324,15.611,47.718,1.076,5.509,0.699,74.121,0.133720179,2.812,70.336,2.292,69.237,19.912,0.506127607,4.527,3.102,1.965,9.635,0.085786,40.136,0.316329755,0.551,8.783,16.522,3.322,14.87,224.881,1525.97,5.961,78.916,116.22,0.467,14.992,52.918,2.103,19.046,85.598,115.398,13.996,0.168314,0.067872,35.658,5.745,4.1,16.821,8.71,0.181,19.392,2.041,1.433,0.738,31.127,0.038602353,70.624,0.41,126.13,0.08981614,0.376,36.728,0.604,55.96,8.786,0.480821227,1.231,39.345,3.923,0.361,606.617,5.858,16.677,6.82,0.012822743,5.667,4.288,419.977,4.551,27.988,206.998,0.02530638,15.169,28.571,2.147,25.764258,10.03,7.796,0.312,3.614,1.064100396,13.126,114.373,78.888,160.143,40.39,5.848,1.372,14.726,4.695,25.358,0.259,0.568,1.974,11.835,0.083601,47.363,12.73,58.027,3.2,0.121,0.911,10.501,87.802,0.01364267,17.601,159.139,31.952,2.644,389.653,0.083,37.412,0.131808282,83.798,0.601,0.19,95.004,51.562
8,0.14,70.586,2.314,0.158957,15.791,40.352,0.111177,37.22,10.733,28.263,144.943,4.714,3.315,0.403,2.19,0.637,0.064413,172.505,0.185,0.508,45.975,16.172,787,47.528,45.992,215.365,11.74,53.712,2.213,0.427,5.947,5.426,1.406,62.436,1.665,0.057702,5.757,10.511,40.283,17.429,105.23,16.994,45.299,1.011,5.338,0.642,72.813,0.139068986,2.939,68.802,1.996,76.149,20.962,0.526372712,4.886,3.224,2.113,8.958,0.081259,44.484,0.328982945,0.495,8.39,17.767,3.017,15.156,201.059,1426.158,5.82,71.39,132.866,0.461,15.711,49.566,1.915,20.755,76.267,126.388,12.885,0.168816,0.066692,31.396,5.592,3.727,18.633,8.358,0.166,17.988,1.814,1.276,0.705,28.816,0.040146447,78.863,0.385,119.269,0.093408785,0.344,32.762,0.558,59.853,9.523,0.500054076,1.14,37.819,4.043,0.349,688.558,5.489,16.17,6.778,0.013335653,5.592,4.146,458.035,4.318,25.955,222.747,0.026318636,16,25.664,1.864,25.334033,9.476,8.362,0.297,3.41,1.106664412,11.302,106.251,86.649,185.467,45.625,5.443,1.478,15.622,4.29,27.827,0.27,0.535,1.889,11.71,0.079598,51.318,13.307,51.768,3.583,0.123,0.783,9.553,83.514,0.014188376,16.815,178.185,29.353,2.408,387.129,0.075,35.347,0.137080613,75.102,0.644,0.192,107.821,47.738
9,0.131,75.517,2.019,0.151169,14.634,37.593,0.109655,36.405,10.127,29.858,130.215,4.255,3.208,0.372,1.89,0.685,0.064811,153.654,0.163,0.474,44.476,14.683,662.069,50.482,47.944,227.148,12.434,49.97,2.393,0.393,5.525,4.567,1.299,57.443,1.708,0.055179,5.517,9.723,37.353,16.367,98.512,18.161,42.633,0.944,5.1,0.587,70.469,0.144631746,3.051,66.425,1.743,82.375,21.948,0.54742762,5.222,3.306,2.225,8.269,0.077619,48.791,0.342142263,0.442,7.764,19.022,2.7,15.441,176.346,1302.635,5.605,63.82,149.74,0.444,16.281,46.151,1.73,22.203,66.872,136.331,11.779,0.167459,0.065329,27.444,5.297,3.338,20.008,7.91,0.15,16.547,1.617,1.13,0.655,26.592,0.041752305,86.396,0.348,111.403,0.097145137,0.31,29.243,0.504,63.327,10.217,0.520056239,1.043,35.593,4.138,0.33,764.343,5.1,15.492,6.599,0.013869079,5.424,3.962,495.444,4.014,23.864,237.362,0.027371381,16.676,23.032,1.617,24.924742,8.875,9.059,0.278,3.143,1.150930989,9.759,97.495,93.43,210.002,51.06,4.942,1.572,16.309,3.905,30.275,0.284,0.497,1.783,11.364,0.076039,55.315,13.794,45.474,4.009,0.128,0.669,8.622,78.516,0.014755912,15.56,196.553,26.617,2.172,378.219,0.068,32.714,0.142563838,66.099,0.681,0.199,120.204,43.405
